Bathrooms,Bedrooms,Floor area,Furnishing,Parkings,Price,Swimming pool,Type,State,PostalCode
14,17,16000,1,6,2057000000,1,1,0,00300
3,3,1500,0,4,45000000,0,1,0,00101
4,5,6000,0,4,210000000,0,1,0,00700
8,8,11000,1,4,175000000,1,1,0,10350
3,3,3200,1,4,35000000,1,1,1,10400
8,9,8500,0,3,150000000,1,1,0,00101
4,5,3500,0,3,140000000,0,1,0,00500
2,4,3600,0,2,65000000,0,1,0,00600
4,4,3500,1,2,225000000,0,1,0,00700
1,1,615,0,1,29000000,1,1,1,00300
3,3,2250,0,1,13000000,0,1,0,01300
3,4,4200,0,2,94000000,0,1,0,00600
1,3,3200,0,2,65000000,0,1,0,00600
2,2,1000,0,1,10000000,0,1,0,00600
3,3,1200,0,1,120000000,0,1,0,01100
3,5,5500,1,3,368000000,1,0,0,00300
4,4,5250,0,3,145000000,0,0,0,10107
2,2,1744,0,1,127550000,1,0,1,00200
3,3,1956,0,1,125000000,1,0,1,00200
2,2,1310,0,1,90000000,1,0,0,00700
2,2,1310,0,1,88000000,0,0,0,00700
3,3,1850,1,2,85000000,1,0,0,00200
2,2,1310,0,1,85000000,1,0,0,00700
3,3,1453,0,1,84000000,0,0,0,00700
3,3,1850,1,2,80000000,1,0,0,00200
3,4,1800,1,1,75000000,1,0,0,00200
4,3,1668,1,2,75000000,1,0,0,00300
3,4,2700,0,3,68000000,0,0,0,10107
2,2,1150,0,1,65000000,0,0,0,00500
3,3,1500,0,1,65000000,0,0,1,00700
3,3,1500,0,1,65000000,0,0,0,00700
3,3,2400,0,1,65000000,0,0,0,10107
2,2,1100,1,1,64000000,1,0,0,00300
2,3,1500,0,1,63000000,0,0,0,00500
2,3,2650,0,1,63000000,0,0,0,10107
3,4,2100,0,1,62000000,0,0,0,10107
2,3,1990,1,1,60000000,1,0,0,00200
2,3,1800,1,1,60000000,0,0,0,00700
2,2,1055,1,1,58000000,1,0,0,00300
2,3,1650,0,1,58000000,1,0,1,00300
2,3,1870,0,1,58000000,1,0,0,00700
4,4,2100,0,2,58000000,1,0,0,10107
3,4,2100,0,2,56500000,1,0,1,10107
2,3,1700,1,1,56000000,1,0,0,10107
2,2,1300,0,1,55000000,1,0,0,00200
2,3,1228,0,1,55000000,0,0,0,00200
3,3,1680,1,2,55000000,0,0,0,10107
2,2,958,1,1,54000000,1,0,0,00700
2,3,1800,1,1,50000000,1,0,0,10107
2,3,1690,0,1,48000000,1,0,0,00700
2,3,1700,0,1,48000000,1,0,1,00700
3,3,1680,0,2,48000000,1,0,0,10107
2,3,1600,1,1,47000000,1,0,0,00300
2,3,1600,0,1,47000000,0,0,0,00300
3,3,1365,1,1,47000000,0,0,0,00700
3,3,1700,0,1,47000000,1,0,1,10107
2,3,1680,1,2,47000000,1,0,1,10107
2,3,1700,0,1,45000000,1,0,0,00700
3,5,2370,0,1,44000000,0,0,0,00600
4,4,2205,0,1,44000000,0,0,0,00600
4,4,2205,0,1,44000000,0,0,0,00600
3,3,1650,0,1,43500000,1,0,1,10107
1,1,900,1,1,43000000,1,0,0,00300
2,3,1200,0,1,42000000,0,0,0,00800
3,3,1450,0,2,42000000,1,0,0,10107
2,3,1350,1,1,40000000,1,0,0,00400
2,3,1560,0,1,40000000,0,0,0,00500
2,3,1730,0,1,40000000,0,0,0,10107
2,2,965,0,1,39500000,0,0,0,00500
2,2,1500,0,1,39500000,0,0,0,00700
2,3,1400,1,1,39000000,1,0,0,00400
2,3,1500,0,1,39000000,0,0,0,00500
2,3,1450,1,1,39000000,0,0,1,00800
2,2,1034,1,1,39000000,1,0,0,10107
2,3,1200,0,1,38500000,1,0,0,00800
3,3,1500,1,1,38000000,0,0,0,00400
2,3,1750,1,1,38000000,1,0,0,00500
2,2,1200,1,1,37000000,1,0,0,00200
2,2,905,1,1,37000000,0,0,0,00200
2,3,1200,1,1,37000000,1,0,1,00800
2,3,1376,0,1,37000000,0,0,0,10107
2,2,1500,0,1,36500000,0,0,0,00700
2,2,1100,0,1,36500000,0,0,0,00800
2,2,907,1,1,36000000,1,0,0,00200
2,2,905,1,1,36000000,1,0,0,00200
2,3,1550,0,1,36000000,0,0,0,00500
2,3,1650,0,1,35000000,0,0,0,10107
2,3,1600,0,1,35000000,1,0,0,10107
2,3,1369,0,1,35000000,0,0,0,10120
2,3,1392,0,1,33000000,0,0,0,00101
2,3,1160,1,1,32000000,1,0,0,00400
2,3,1329,0,1,31500000,0,0,0,10107
3,4,1700,1,1,30000000,1,0,0,00400
2,3,1160,0,1,30000000,0,0,0,00500
2,3,1330,0,1,30000000,1,0,0,10107
2,3,1512,0,1,30000000,1,0,1,10107
2,3,1035,0,1,28000000,0,0,0,00101
2,3,1246,0,1,28000000,1,0,1,10120
2,3,1730,0,1,28000000,0,0,1,10350
2,3,1181,0,1,26500000,1,0,0,10350
2,3,1500,0,1,26000000,0,0,1,10350
2,3,1200,0,1,25300000,1,0,1,10350
2,2,1000,0,1,25000000,0,0,0,00500
3,3,1400,0,1,24500000,1,0,1,10120
2,3,1150,0,1,20000000,1,0,1,10350
2,2,725,0,1,19500000,1,0,0,00600
3,3,1050,0,1,18500000,1,0,1,10350
2,2,915,1,1,17500000,0,0,0,10350
2,2,945,0,1,16500000,0,0,1,10350
1,2,975,0,1,14000000,0,0,0,00500
2,2,1100,1,1,6500000,1,0,0,00300
3,3,1680,1,2,300000,0,0,0,10107
2,3,1000,0,6,30000000,0,0,1,00800
2,3,1200,1,6,200000000,0,0,1,01300
5,7,4500,1,3,48000000,0,0,0,00101
3,4,5500,1,3,490910000,1,0,0,00300
7,7,3500,1,3,120000000,0,0,0,00400
4,4,5200,1,3,150000000,1,0,0,10107
3,5,1700,1,3,35000000,1,0,0,10107
4,4,4040,1,3,120000000,1,0,0,10350
3,4,2990,0,2,250000000,1,0,0,00100
2,3,1450,0,2,30000000,1,0,1,00101
3,3,2271,0,2,249900000,0,0,0,00200
3,3,2271,0,2,227292595,1,0,1,00200
3,3,1850,1,2,85000000,1,0,0,00200
3,4,1850,1,2,85000000,1,0,0,00200
2,3,2208,0,2,80000000,0,0,0,00200
4,4,2735,0,2,80000000,0,0,0,00200
3,3,2028,1,2,80000000,1,0,0,00200
3,3,2028,1,2,80000000,1,0,1,00200
3,3,2028,1,2,78000000,0,0,0,00200
4,4,3700,1,2,288000000,1,0,0,00300
3,4,3700,0,2,285000000,1,0,0,00300
3,3,2260,0,2,230000000,1,0,1,00300
4,4,2990,1,2,225000000,1,0,1,00300
3,3,2271,1,2,225000000,1,0,1,00300
4,4,2500,0,2,190000000,1,0,0,00300
4,4,3850,0,2,185000000,1,0,0,00300
4,4,2400,1,2,115000000,1,0,0,00300
4,4,2450,1,2,115000000,1,0,0,00300
3,4,2790,0,2,82000000,1,0,1,00300
4,1,3,0,2,82000000,0,0,0,00300
2,3,1650,1,2,79000000,1,0,0,00300
3,3,1850,0,2,75000000,1,0,0,00300
2,3,2050,0,2,72000000,1,0,0,00300
3,3,1570,1,2,65000000,1,0,0,00300
2,3,1675,1,2,52000000,1,0,0,00300
3,3,1750,1,2,48900000,1,0,0,00300
3,4,1600,1,2,46000000,0,0,0,00300
2,3,1300,1,2,46000000,1,0,1,00300
4,3,1800,0,2,45000000,0,0,0,00400
4,3,1800,0,2,45000000,0,0,1,00400
4,4,4370,1,2,260000000,0,0,0,00500
5,4,4370,1,2,210000000,1,0,0,00500
3,4,2125,1,2,80000000,1,0,1,00500
4,4,2243,0,2,68000000,1,0,1,00500
2,3,1500,1,2,65000000,1,0,0,00500
2,3,1313,0,2,60000000,1,0,1,00500
2,3,1510,0,2,40000000,1,0,1,00500
2,3,1680,0,2,38640000,1,0,1,00600
2,3,1680,0,2,36960000,1,0,1,00600
2,2,1310,0,2,90000000,1,0,0,00700
2,3,1290,0,2,70000000,1,0,0,00700
2,2,1157,0,2,55000000,1,0,1,00700
2,3,1800,0,2,53000000,1,0,0,00700
5,4,2135,0,2,59500000,1,0,0,10107
3,4,2124,0,2,44000000,1,0,1,10107
5,4,5250,0,2,145000000,1,0,0,10107
5,4,4000,0,2,110000000,1,0,0,10107
4,4,2124,0,2,63000000,1,0,1,10107
3,3,1680,0,2,48000000,1,0,1,10107
2,3,1990,0,2,43000000,1,0,0,10107
4,3,2418,1,2,68000000,1,0,1,10107
2,3,1720,0,2,50000000,1,0,1,10107
4,3,1790,0,2,46500000,1,0,1,10107
4,3,1920,0,2,44500000,1,0,0,10107
5,4,5000,1,2,110000000,1,0,0,10107
5,4,3950,1,2,78000000,1,0,0,10107
3,3,1200,0,2,32000000,1,0,1,10107
2,3,1384,0,2,33000000,1,0,1,10107
3,4,1990,0,2,67000000,1,0,0,10107
4,4,2146,0,2,65000000,1,0,1,10107
3,4,2500,0,2,57000000,1,0,0,10107
4,4,2900,0,2,90000000,1,0,0,10107
3,3,2000,0,2,45000000,1,0,0,10107
3,3,2418,0,2,63000000,1,0,1,10107
2,3,1700,0,2,49000000,0,0,0,10107
4,4,4000,0,2,100000000,0,0,0,10107
3,3,1680,1,2,550000000,1,0,1,10107
3,3,2387,0,2,59000000,1,0,0,10107
3,3,1700,0,2,52000000,1,0,1,10107
3,3,1700,0,2,47000000,1,0,0,10107
2,2,1300,0,2,37000000,1,0,0,10107
2,3,1410,0,2,26000000,1,0,1,10107
4,3,1690,1,2,53000000,1,0,1,10107
2,3,2419,0,2,61000000,1,0,0,10107
2,3,2419,0,2,58000000,1,0,0,10107
2,2,1034,1,2,37000000,1,0,0,10107
4,4,3950,0,2,78000000,1,0,0,10107
5,5,2135,1,2,65000000,1,0,0,10107
4,4,2400,1,2,52000000,1,0,0,10107
3,3,1780,1,2,60000000,1,0,1,10107
3,3,1400,1,2,39000000,1,0,1,10107
2,3,2000,0,2,65000000,1,0,1,10107
2,3,2300,0,2,58000000,1,0,0,10107
4,4,2146,1,2,55000000,1,0,1,10107
3,3,1680,1,2,55000000,1,0,0,10107
3,4,2123,0,2,55000000,1,0,0,10107
3,3,1680,0,2,53000000,1,0,1,10107
3,3,1700,0,2,45000000,1,0,1,10107
3,4,2400,1,2,55000000,1,0,0,10107
2,3,1470,1,2,43000000,1,0,0,10107
4,5,2140,1,2,52500000,1,0,0,10107
2,3,1680,1,2,55000000,1,0,1,10107
4,4,3500,0,1,360548200,0,0,0,00100
2,2,1779,0,1,142000000,0,0,0,00100
3,3,1630,1,1,49000000,1,0,0,00100
2,2,1200,1,1,35000000,1,0,0,00100
